,filename,width,height,class,xmin,ymin,xmax,ymax
0,img000001.jpg,1920,1200,1,539,222,1036,700
1,img000002.jpg,1920,1200,1,815,168,1708,1355
2,img000003.jpg,1920,1200,1,920,518,1250,667
3,img000004.jpg,1920,1200,1,872,510,1244,831
4,img000005.jpg,1920,1200,1,488,473,1642,1004
5,img000006.jpg,1920,1200,1,771,559,955,703
6,img000007.jpg,1920,1200,1,879,622,1021,828
7,img000008.jpg,1920,1200,1,888,512,1144,615
8,img000009.jpg,1920,1200,1,850,447,1259,720
9,img000010.jpg,1920,1200,1,866,612,1078,795
10,img000011.jpg,1920,1200,1,766,468,1139,706
11,img000012.jpg,1920,1200,1,791,426,1486,1192
12,img000013.jpg,1920,1200,1,838,628,1111,825
13,img000015.jpg,1920,1200,1,797,602,1040,924
14,img000016.jpg,1920,1200,1,584,-98,1076,985
15,img000017.jpg,1920,1200,1,918,356,1254,786
16,img000018.jpg,1920,1200,1,823,438,957,608
17,img000019.jpg,1920,1200,1,667,121,1143,526
18,img000020.jpg,1920,1200,1,954,231,1151,471
19,img000023.jpg,1920,1200,1,372,-151,1299,565
20,img000024.jpg,1920,1200,1,921,610,1043,784
21,img000027.jpg,1920,1200,1,669,439,1064,987
22,img000028.jpg,1920,1200,1,682,243,1444,1005
23,img000029.jpg,1920,1200,1,921,546,1177,635
24,img000031.jpg,1920,1200,1,638,396,1426,985
25,img000032.jpg,1920,1200,1,332,240,1395,894
26,img000034.jpg,1920,1200,1,883,559,1134,702
27,img000035.jpg,1920,1200,1,1089,411,1275,540
28,img000036.jpg,1920,1200,1,787,283,1389,1071
29,img000037.jpg,1920,1200,1,824,459,1295,1038
30,img000039.jpg,1920,1200,1,862,304,1182,812
31,img000040.jpg,1920,1200,1,923,376,1252,732
32,img000042.jpg,1920,1200,1,890,359,1178,509
33,img000043.jpg,1920,1200,1,629,470,1132,776
34,img000044.jpg,1920,1200,1,441,250,1439,763
35,img000045.jpg,1920,1200,1,927,731,1067,818
36,img000046.jpg,1920,1200,1,821,614,1090,799
37,img000048.jpg,1920,1200,1,901,441,1071,612
38,img000049.jpg,1920,1200,1,713,560,1151,725
